2024-07-26 11:31:15,392 INFO    MainThread:1541817 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-26 11:31:15,393 INFO    MainThread:1541817 [wandb_setup.py:_flush():76] Configure stats pid to 1541817
2024-07-26 11:31:15,393 INFO    MainThread:1541817 [wandb_setup.py:_flush():76] Loading settings from /home/nlin06/.config/wandb/settings
2024-07-26 11:31:15,393 INFO    MainThread:1541817 [wandb_setup.py:_flush():76] Loading settings from /scratch/st-sielmann-1/agrobot/grape-ld/wandb/settings
2024-07-26 11:31:15,393 INFO    MainThread:1541817 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_service_wait': '300'}
2024-07-26 11:31:15,393 INFO    MainThread:1541817 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-26 11:31:15,393 INFO    MainThread:1541817 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '__main__.py', 'program_abspath': '/scratch/st-sielmann-1/agrobot/grape-ld/__main__.py', 'program': '/scratch/st-sielmann-1/agrobot/grape-ld/__main__.py'}
2024-07-26 11:31:15,393 INFO    MainThread:1541817 [wandb_init.py:_log_setup():529] Logging user logs to /scratch/st-sielmann-1/agrobot/grape-ld/wandb/offline-run-20240726_113115-o2b6suyg/logs/debug.log
2024-07-26 11:31:15,393 INFO    MainThread:1541817 [wandb_init.py:_log_setup():530] Logging internal logs to /scratch/st-sielmann-1/agrobot/grape-ld/wandb/offline-run-20240726_113115-o2b6suyg/logs/debug-internal.log
2024-07-26 11:31:15,393 INFO    MainThread:1541817 [wandb_init.py:init():569] calling init triggers
2024-07-26 11:31:15,393 INFO    MainThread:1541817 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'alsologtostderr': False, 'delta_threshold': 0.5, 'hbm_oom_exit': True, 'log_dir': '', 'logger_levels': {}, 'logtostderr': False, 'only_check_args': False, 'op_conversion_fallback_to_while_loop': True, 'pdb': False, 'pdb_post_mortem': False, 'profile_file': None, 'run_with_pdb': False, 'run_with_profiling': False, 'runtime_oom_exit': True, 'showprefixforinfo': True, 'stderrthreshold': 'fatal', 'test_random_seed': 301, 'test_randomize_ordering_seed': '', 'test_srcdir': '', 'test_tmpdir': '/tmp/slurm/1562430/absl_testing', 'tt_check_filter': False, 'tt_single_core_summaries': False, 'use_cprofile_for_profiling': True, 'v': -1, 'verbosity': -1, 'xml_output_file': ''}
2024-07-26 11:31:15,394 INFO    MainThread:1541817 [wandb_init.py:init():619] starting backend
2024-07-26 11:31:15,394 INFO    MainThread:1541817 [wandb_init.py:init():623] setting up manager
2024-07-26 11:31:15,395 INFO    MainThread:1541817 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-26 11:31:15,402 INFO    MainThread:1541817 [wandb_init.py:init():631] backend started and connected
2024-07-26 11:31:15,405 INFO    MainThread:1541817 [wandb_init.py:init():720] updated telemetry
2024-07-26 11:31:15,490 INFO    MainThread:1541817 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-26 11:31:15,497 INFO    MainThread:1541817 [wandb_init.py:init():804] starting run threads in backend
2024-07-26 11:31:22,885 INFO    MainThread:1541817 [wandb_run.py:_console_start():2380] atexit reg
2024-07-26 11:31:22,885 INFO    MainThread:1541817 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-26 11:31:22,885 INFO    MainThread:1541817 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-26 11:31:22,885 INFO    MainThread:1541817 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-26 11:31:22,892 INFO    MainThread:1541817 [wandb_init.py:init():847] run started, returning control to user process
2024-07-26 11:31:39,340 INFO    MainThread:1541817 [wandb_run.py:_tensorboard_callback():1544] tensorboard callback: ./logs/train, True
2024-07-26 11:32:22,651 INFO    MainThread:1541817 [wandb_run.py:_tensorboard_callback():1544] tensorboard callback: ./logs/validation, True
2024-07-26 12:03:14,146 WARNING MsgRouterThr:1541817 [router.py:message_loop():77] message_loop has been closed
